ablation,asset_CD/ci95,asset_CD/mean,asset_CD/std,asset_Chamfer Distance/ci95,asset_Chamfer Distance/mean,asset_Chamfer Distance/std,asset_Chamfer-L2/ci95,asset_Chamfer-L2/mean,asset_Chamfer-L2/std,asset_F-score precision/ci95,asset_F-score precision/mean,asset_F-score precision/std,asset_F-score recall/ci95,asset_F-score recall/mean,asset_F-score recall/std,asset_F-score threshold/ci95,asset_F-score threshold/mean,asset_F-score threshold/std,asset_F-score/ci95,asset_F-score/mean,asset_F-score/std,asset_Gaussian_count/ci95,asset_Gaussian_count/mean,asset_Gaussian_count/std,asset_LPIPS/ci95,asset_LPIPS/mean,asset_LPIPS/std,asset_PSNR/ci95,asset_PSNR/mean,asset_PSNR/std,asset_SSIM/ci95,asset_SSIM/mean,asset_SSIM/std,asset_conditioning_camera_overlap/ci95,asset_conditioning_camera_overlap/mean,asset_conditioning_camera_overlap/std,asset_conditioning_num_views/ci95,asset_conditioning_num_views/mean,asset_conditioning_num_views/std,asset_eval_peak_vram_gb/ci95,asset_eval_peak_vram_gb/mean,asset_eval_peak_vram_gb/std,asset_floating_splat_ratio/ci95,asset_floating_splat_ratio/mean,asset_floating_splat_ratio/std,asset_geometry_extent_ratio/ci95,asset_geometry_extent_ratio/mean,asset_geometry_extent_ratio/std,asset_geometry_num_surface_samples/ci95,asset_geometry_num_surface_samples/mean,asset_geometry_num_surface_samples/std,asset_geometry_sampling_seed/ci95,asset_geometry_sampling_seed/mean,asset_geometry_sampling_seed/std,asset_occluded_region_stability/ci95,asset_occluded_region_stability/mean,asset_occluded_region_stability/std,asset_opacity_mean/ci95,asset_opacity_mean/mean,asset_opacity_mean/std,asset_opacity_std/ci95,asset_opacity_std/mean,asset_opacity_std/std,asset_point-to-surface distance/ci95,asset_point-to-surface distance/mean,asset_point-to-surface distance/std,asset_render_Boundary_F_score/ci95,asset_render_Boundary_F_score/mean,asset_render_Boundary_F_score/std,asset_render_LPIPS/ci95,asset_render_LPIPS/mean,asset_render_LPIPS/std,asset_render_Mask_IoU/ci95,asset_render_Mask_IoU/mean,asset_render_Mask_IoU/std,asset_render_PSNR/ci95,asset_render_PSNR/mean,asset_render_PSNR/std,asset_render_SSIM/ci95,asset_render_SSIM/mean,asset_render_SSIM/std,asset_render_foreground_L1/ci95,asset_render_foreground_L1/mean,asset_render_foreground_L1/std,asset_render_masked_LPIPS/ci95,asset_render_masked_LPIPS/mean,asset_render_masked_LPIPS/std,asset_render_masked_PSNR/ci95,asset_render_masked_PSNR/mean,asset_render_masked_PSNR/std,asset_render_masked_SSIM/ci95,asset_render_masked_SSIM/mean,asset_render_masked_SSIM/std,asset_render_num_views/ci95,asset_render_num_views/mean,asset_render_num_views/std,asset_scale_abnormal_ratio/ci95,asset_scale_abnormal_ratio/mean,asset_scale_abnormal_ratio/std,asset_scale_max/ci95,asset_scale_max/mean,asset_scale_max/std,asset_scale_mean/ci95,asset_scale_mean/mean,asset_scale_mean/std,asset_slat_velocity_residual_norm/ci95,asset_slat_velocity_residual_norm/mean,asset_slat_velocity_residual_norm/std,asset_surface coverage/ci95,asset_surface coverage/mean,asset_surface coverage/std,asset_view_coverage/ci95,asset_view_coverage/mean,asset_view_coverage/std,asset_visible_region_consistency/ci95,asset_visible_region_consistency/mean,asset_visible_region_consistency/std,delta_norm/ci95,delta_norm/mean,delta_norm/std,index/ci95,index/mean,index/std,latency_seconds/ci95,latency_seconds/mean,latency_seconds/std,mean_confidence/ci95,mean_confidence/mean,mean_confidence/std,num_anchors/ci95,num_anchors/mean,num_anchors/std,num_failed,num_ok,peak_vram_gb/ci95,peak_vram_gb/mean,peak_vram_gb/std,projection_valid_ratio/ci95,projection_valid_ratio/mean,projection_valid_ratio/std,refinement_steps/ci95,refinement_steps/mean,refinement_steps/std,slat_base_invalid_ratio/ci95,slat_base_invalid_ratio/mean,slat_base_invalid_ratio/std,slat_confidence_mean/ci95,slat_confidence_mean/mean,slat_confidence_mean/std,visibility_mean/ci95,visibility_mean/mean,visibility_mean/std
final_conditioning_refined,0.004045502217706784,0.1523293103321944,0.02074326230251118,0.004045502217706784,0.1523293103321944,0.02074326230251118,0.0015330131278721948,0.036415023139060136,0.00786050574523523,0.0057146499177886945,0.08999594028043274,0.029301796373482195,0.004335298289850761,0.07037762377300474,0.022229188057886866,1.3600232051658166e-18,0.010000000000000007,6.973502068242161e-18,0.004676775149557388,0.0783348343897574,0.023980106408673877,13782.503364706374,277945.0297029703,70669.61457294859,0.004649179950995265,0.09478853223999052,0.02383861237128129,0.5675219468031203,21.170375605227537,2.909961723279462,0.0034113953765820748,0.9139264749713459,0.01749188736179424,0.0,0.0,0.0,0.0,8.0,0.0,0.012233225692093154,2.7977452042079207,0.06272571257685547,0.0,0.0,0.0,0.007733578797776247,0.9979871204583952,0.03965382909376985,0.0,100000.0,0.0,0.0,20260720.0,0.0,,,,0.08096014055500295,0.33841245621442795,0.10117909891008373,0.03204906095727106,0.40754273533821106,0.04005298269421851,0.0038551097360805917,0.1451780398440833,0.019767027221113332,0.052762302378475935,0.3990114296522534,0.2705380491773745,0.004649179950995265,0.09478853223999052,0.02383861237128129,0.03094195241243063,0.6498061781472498,0.1586544761324333,0.5675219468031203,21.170375605227537,2.909961723279462,0.0034113953765820748,0.9139264749713459,0.01749188736179424,0.018560303862075498,0.2248358728345667,0.09516772719595329,0.0057159907668303984,0.0794799032309108,0.02930867156026578,0.6312373099980068,10.936335925615266,3.2366614555565807,0.00420118460284561,0.9252459951753271,0.0215415217959013,0.0,12.0,0.0,0.0,0.0,0.0,0.0032975824963605827,0.03780053619590431,0.016908313234086318,6.121259494411433e-05,0.0017187041656971716,0.0003138668192012258,,,,0.004335298289850761,0.07037762377300474,0.022229188057886866,0.0,1.0,0.0,,,,,,,73.55734381971645,704.3168316831683,377.1643655143754,0.26309444008539823,10.643872791919673,1.3490134691156603,,,,,,,10,101,0.009329004901077808,0.6874226485148515,0.04783435659421386,,,,0.0,150.0,0.0,,,,,,,,,
original_trellis,0.0039528183647914335,0.1526078381933845,0.020566834669142286,0.0039528183647914335,0.1526078381933845,0.020566834669142286,0.0014890534289650128,0.03651873885582273,0.007747665807219232,0.006078705405902884,0.09021538444078313,0.031627997430694645,0.004259486333490727,0.06974711536895484,0.0221624529921949,1.3400706830327225e-18,0.010000000000000007,6.972496492221902e-18,0.004796332258931679,0.0780241615497149,0.024955705899966523,13695.919098408556,275216.6153846154,71260.97830548299,0.006390782952078416,0.07790793945791964,0.03325176222426933,0.7057031101090406,21.215716852591584,3.671830540050118,0.00444476252907078,0.9161748776260098,0.02312646007042645,0.0,0.0,0.0,0.0,8.0,0.0,0.012376147620180985,2.7957857572115383,0.06439410022286504,0.0,0.0,0.0,0.006201162836346164,0.9997045179972281,0.03226515337703619,0.0,100000.0,0.0,0.0,20260720.0,0.0,,,,0.03239361077553568,0.5251828172745613,0.16854658516345503,0.011830988211604604,0.3996602091938257,0.06155759158781437,0.0036009959768423918,0.14522242897118515,0.018736274239069865,0.07658276065678717,0.383055609861353,0.398466317340575,0.006390782952078416,0.07790793945791964,0.03325176222426933,0.04089170550887728,0.6278705714055552,0.21276286156515797,0.7057031101090406,21.215716852591584,3.671830540050118,0.00444476252907078,0.9161748776260098,0.02312646007042645,0.02091539195826656,0.2392982099002274,0.10882448135677836,0.006199934762045074,0.07370122573383223,0.03225876360680619,0.7418749972338452,10.779458770194113,3.8600358036142546,0.004594637676979561,0.92221425827115,0.02390627262531368,0.0,12.0,0.0,0.0,0.0,0.0,0.002981403896546177,0.03716364587084032,0.015512486373867877,5.926945602724547e-05,0.0017220262323882287,0.0003083837886152593,,,,0.004259486333490727,0.06974711536895484,0.0221624529921949,0.0,1.0,0.0,,,,,,,72.05459459755636,682.8557692307693,374.90590193567056,9.762243776494307,199.55136278715844,50.79374644162672,0.007154209174471788,0.5426856852494754,0.037223930800975684,0.0,4096.0,0.0,7,104,0.16049777913030364,23.719970703125,0.8350829670140031,,,,,,,,,,,,,,,
stage1_geoss_context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7850543547353,699.2702702702703,375.1179437783159,0.2332662754165987,19.39300684721486,1.25388403571779,0.001706117066605058,0.36035944991283586,0.009170948303869227,0.0,4096.0,0.0,0,111,0.4210762903194588,9.855556728603604,2.263425509357916,,,,,,,,,,,,,,,
stage2_geoss_ss,0.003940552107069824,0.152259528358406,0.020796626502614726,0.003940552107069824,0.152259528358406,0.020796626502614726,0.001487213765956507,0.036365723341842675,0.007848907559083955,0.005656207214114731,0.08941121479478951,0.029851154269041794,0.0042866655870025605,0.0700801868322436,0.02262327225531707,1.3209713116553709e-18,0.010000000000000007,6.971547702637456e-18,0.004622632096945149,0.07788740039289554,0.024396366439791255,13169.756577327571,276769.4953271028,69504.60271230771,0.006352563410331081,0.07601460989788056,0.033526238199415595,0.7004146879738001,21.428442101612266,3.696502994238531,0.004539997807077873,0.9176331566780153,0.02396025636790683,0.0,0.0,0.0,0.0,8.0,0.0,0.011815687834718454,2.7966559579439254,0.06235838027094361,0.0,0.0,0.0,0.007376948853251682,0.997341995484361,0.03893252667683829,0.0,100000.0,0.0,0.0,20260720.0,0.0,,,,0.03204937383424509,0.5279629790337286,0.169143520796909,0.011600489191710153,0.39852007387954497,0.0612226496218085,0.0037025293818248946,0.1451352080591371,0.01954043965834682,0.0756572886163276,0.39756701255291166,0.39928830549693584,0.006352563410331081,0.07601460989788056,0.033526238199415595,0.04031843745485868,0.6379255533937913,0.21278426528439526,0.7004146879738001,21.428442101612266,3.696502994238531,0.004539997807077873,0.9176331566780153,0.02396025636790683,0.020578813208523658,0.2335800941499687,0.1086065811430108,0.006149131224935448,0.07192020289414211,0.03245260611352254,0.7415167578743298,10.987774263289856,3.9134229518942334,0.00471230554540444,0.9236618765975085,0.0248696263191527,0.0,12.0,0.0,0.0,0.0,0.0,0.0030503288162633643,0.03799970106822308,0.016098391133612798,5.8816214868035034e-05,0.0017381610596883242,0.00031040798844241387,,,,0.0042866655870025605,0.0700801868322436,0.02262327225531707,0.0,1.0,0.0,,,,,,,70.65760700525529,702.7196261682243,372.9020255360858,10.784246689247837,196.15385097599474,56.91485467378255,0.0017542966785280825,0.3604307818078549,0.009258462217177741,0.0,4096.0,0.0,4,107,0.13291766657253604,23.874981746495326,0.7014852214106579,,,,,,,,,,,,,,,
stage3_geovis_slat,0.003968344890732579,0.1522875820409577,0.02084520983002965,0.003968344890732579,0.1522875820409577,0.02084520983002965,0.0014987378414273065,0.03638700884327574,0.007872678823284069,0.005704676818324765,0.08966943407255523,0.029965940099660346,0.004327490666039327,0.07031877390724027,0.02273175680414,1.3272467451330185e-18,0.010000000000000007,6.971857955978774e-18,0.004679642565389,0.07818247966538623,0.024581565839420776,13287.824525431932,276983.8490566038,69799.24831233842,0.006410232330851153,0.07585564927262424,0.033672133263388006,0.7057783002070364,21.44014640124338,3.7073634390133345,0.00454663869048457,0.9177666976579333,0.023882913439760515,0.0,0.0,0.0,0.0,8.0,0.0,0.01183928896602429,2.7968565742924527,0.0621902756767625,0.0,0.0,0.0,0.007464778545731845,0.997459905889799,0.039211530097566276,0.0,100000.0,0.0,0.0,20260720.0,0.0,0.013013678727261994,0.7761175958615429,0.06835919538240813,0.03271788153550445,0.5273517873489632,0.17186286086029678,0.01196697673961118,0.3977642166164686,0.06286100327389348,0.0037149089291320073,0.14524588881517356,0.01951394303152716,0.07666253075125072,0.398122799861737,0.4026985011667958,0.006410232330851153,0.07585564927262424,0.033672133263388006,0.04094268871452187,0.6366529964824332,0.21506672448075495,0.7057783002070364,21.44014640124338,3.7073634390133345,0.00454663869048457,0.9177666976579333,0.023882913439760515,0.02076482840083694,0.23348852897168332,0.10907499650820392,0.006199080317219808,0.0717195504976132,0.03256297865324873,0.7471812179526243,10.997647430162008,3.9248476879247023,0.004708546381176126,0.9237950538408083,0.024733393899118467,0.0,12.0,0.0,0.0,0.0,0.0,0.003233599931665895,0.03855234753551348,0.016985688224669844,5.914362708736035e-05,0.0017306526215694281,0.00031067393351424613,0.001579454141812818,0.07079534130698105,0.008296671259568778,0.004327490666039327,0.07031877390724027,0.02273175680414,0.0,1.0,0.0,0.012024667253259822,0.12094596685259397,0.06316404418775572,0.0015794541008184056,0.07079534049866334,0.008296671044230356,70.4315540020299,708.4150943396227,369.96797462237384,14.804935462513296,205.04864964040243,77.76843866490776,,,,,,,5,106,0.18897169148881937,25.05415315448113,0.9926442054518293,3.234819864411595e-06,0.9999948565690022,1.699209637586709e-05,,,,0.0,0.0,0.0,0.005076098419575489,0.05048521880452135,0.026664097901631576,0.012024667510036143,0.1209459685417144,0.06316404553656899
stage4_geovis_slat_joint,0.004045502217706784,0.1523293103321944,0.02074326230251118,0.004045502217706784,0.1523293103321944,0.02074326230251118,0.0015330131278721948,0.036415023139060136,0.00786050574523523,0.0057146499177886945,0.08999594028043274,0.029301796373482195,0.004335298289850761,0.07037762377300474,0.022229188057886866,1.3600232051658166e-18,0.010000000000000007,6.973502068242161e-18,0.004676775149557388,0.0783348343897574,0.023980106408673877,13782.503364706374,277945.0297029703,70669.61457294859,0.006578462862270322,0.07486051564541314,0.03373098650203044,0.7313313092178148,21.49860959792688,3.7498921915666017,0.004638016827106683,0.9185044157623066,0.023781373592391793,0.0,0.0,0.0,0.0,8.0,0.0,0.012248753337923876,2.7977452042079207,0.06280533038771648,0.0,0.0,0.0,0.007733578797776247,0.9979871204583952,0.03965382909376985,0.0,100000.0,0.0,0.0,20260720.0,0.0,0.012818309737054416,0.7737616819910483,0.06572572373999984,0.03328025967598096,0.5351942017821982,0.17064411754194572,0.012468721134944134,0.39736910341399734,0.0639332125309336,0.0038551097360805917,0.1451780398440833,0.019767027221113332,0.07983969620067036,0.4078542881780891,0.40937704920653833,0.006578462862270322,0.07486051564541314,0.03373098650203044,0.04259533805859549,0.6411496321532396,0.21840706608596003,0.7313313092178148,21.49860959792688,3.7498921915666017,0.004638016827106683,0.9185044157623066,0.023781373592391793,0.021661890543734148,0.2325845451982502,0.11107107432799129,0.006424676024964792,0.07085025534433352,0.032942446406578334,0.7784711860342057,11.063079898900325,3.9916013236072594,0.0048983016840278264,0.9244545059333934,0.025115980958778907,0.0,12.0,0.0,0.0,0.0,0.0,0.0032975824963605827,0.03780053619590431,0.016908313234086318,6.121259494411433e-05,0.0017187041656971716,0.0003138668192012258,0.0023599785330358186,0.07684328617288334,0.01210076057424761,0.004335298289850761,0.07037762377300474,0.022229188057886866,0.0,1.0,0.0,0.012262383410120434,0.12290938608267686,0.06287521841337071,0.002359978510596718,0.07684328609911523,0.0121007604591914,73.55734381971645,704.3168316831683,377.1643655143754,12.879291180401484,237.49266164875266,66.03840533226233,,,,,,,10,101,0.1616000945778805,25.151995668316832,0.8286024749331996,3.1510518660770426e-06,0.9999952865119027,1.6156979249885284e-05,,,,0.0,0.0,0.0,0.005152029538365684,0.05099434727176996,0.026416967375977554,0.01226238365535717,0.1229093876709968,0.06287521967081902
