Boundary_F_score,DINO_similarity,LPIPS,Mask_IoU,PSNR,SSIM,masked_LPIPS,masked_PSNR,masked_SSIM,method,multi_view_consistency,uid,view
0.00833333283662796,0.154271200299263,0.20492377877235413,0.2736680507659912,23.019887924194336,0.2150915563106537,0.08190534263849258,17.566726684570312,0.3450373113155365,original_trellis,0.9807950258255005,test_000000,0.0
0.006825938355177641,0.3615584075450897,0.18818886578083038,0.39394620060920715,25.376989364624023,0.3880743980407715,0.07203920930624008,17.12353515625,0.45837876200675964,original_trellis,0.9852656722068787,test_000000,1.0
0.010266940109431744,0.2896072566509247,0.22870545089244843,0.2098933458328247,20.50643539428711,0.21927975118160248,0.2138856202363968,11.282533645629883,0.15965792536735535,original_trellis,0.9681130647659302,test_000000,2.0
0.014227641746401787,0.28062283992767334,0.2367756962776184,0.25343018770217896,16.769996643066406,0.22726649045944214,0.263999879360199,10.182306289672852,0.3209456503391266,original_trellis,0.9428637623786926,test_000000,3.0
0.004592422395944595,0.5963584184646606,0.18736478686332703,0.41307953000068665,19.459726333618164,0.17302684485912323,0.303972452878952,9.620649337768555,0.11348885297775269,original_trellis,0.9635437726974487,test_000000,4.0
0.013820335268974304,0.4035971760749817,0.22220899164676666,0.30642053484916687,17.1744384765625,0.3401125371456146,0.24900032579898834,10.700237274169922,0.36146146059036255,original_trellis,0.9458285570144653,test_000000,5.0
0.01750972867012024,0.4420328736305237,0.21770697832107544,0.3467150628566742,16.659313201904297,0.31710588932037354,0.2663331627845764,10.161251068115234,0.2972571849822998,original_trellis,0.9422485828399658,test_000000,6.0
0.007352941203862429,0.4142828583717346,0.2090342789888382,0.254146546125412,16.628751754760742,0.13176403939723969,0.3301868438720703,8.961028099060059,0.12233828008174896,original_trellis,0.9428443312644958,test_000000,7.0
0.008412197232246399,0.15533354878425598,0.20540983974933624,0.27335110306739807,22.432567596435547,0.1936701238155365,0.0883573666214943,16.821348190307617,0.3086645305156708,stage2_geoss_ss,0.979400634765625,test_000000,0.0
0.006825938355177641,0.3607049882411957,0.18503597378730774,0.3940868377685547,25.35409927368164,0.3886197507381439,0.072249636054039,17.148136138916016,0.46392616629600525,stage2_geoss_ss,0.9850902557373047,test_000000,1.0
0.010256409645080566,0.29720011353492737,0.2279641032218933,0.20965547859668732,20.47919273376465,0.23450176417827606,0.21168656647205353,11.353215217590332,0.17801916599273682,stage2_geoss_ss,0.9677820801734924,test_000000,2.0
0.012182740494608879,0.346558153629303,0.23657864332199097,0.2547523081302643,16.931110382080078,0.2866150140762329,0.24080267548561096,10.705290794372559,0.42841097712516785,stage2_geoss_ss,0.9439041614532471,test_000000,3.0
0.004624277353286743,0.5965274572372437,0.18388304114341736,0.4129714369773865,19.47208595275879,0.17648017406463623,0.30320125818252563,9.637605667114258,0.1158222183585167,stage2_geoss_ss,0.9635134339332581,test_000000,4.0
0.013875124044716358,0.4451218843460083,0.2228768765926361,0.30673983693122864,17.283451080322266,0.3880787789821625,0.24038571119308472,10.850920677185059,0.43174266815185547,stage2_geoss_ss,0.946553647518158,test_000000,5.0
0.021276596933603287,0.47494691610336304,0.21756824851036072,0.346210777759552,16.812652587890625,0.3596532940864563,0.2602006793022156,10.267827987670898,0.34560510516166687,stage2_geoss_ss,0.943549394607544,test_000000,6.0
